WEEK NUMBER,NO. OF DEATHS ,COUNT,TYPE,SEASON
2016-05,1,0,CURRENT WEEK DEATHS,2015-16
2016-06,2,2,PREVIOUS WEEK DEATHS,2015-16
2016-06,2,0,CURRENT WEEK DEATHS,2015-16
2016-07,5,5,PREVIOUS WEEK DEATHS,2015-16
2016-07,5,0,CURRENT WEEK DEATHS,2015-16
2016-08,8,8,PREVIOUS WEEK DEATHS,2015-16
2016-08,8,0,CURRENT WEEK DEATHS,2015-16
2016-09,6,6,PREVIOUS WEEK DEATHS,2015-16
2016-09,6,0,CURRENT WEEK DEATHS,2015-16
2016-10,4,4,PREVIOUS WEEK DEATHS,2015-16
2016-10,4,0,CURRENT WEEK DEATHS,2015-16
2016-11,9,9,PREVIOUS WEEK DEATHS,2015-16
2016-11,9,0,CURRENT WEEK DEATHS,2015-16
2016-12,8,8,PREVIOUS WEEK DEATHS,2015-16
2016-12,8,0,CURRENT WEEK DEATHS,2015-16
2016-13,11,11,PREVIOUS WEEK DEATHS,2015-16
2016-13,11,0,CURRENT WEEK DEATHS,2015-16
2016-14,9,9,PREVIOUS WEEK DEATHS,2015-16
2016-14,9,0,CURRENT WEEK DEATHS,2015-16
2016-15,4,4,PREVIOUS WEEK DEATHS,2015-16
2016-15,4,0,CURRENT WEEK DEATHS,2015-16
2016-16,1,1,PREVIOUS WEEK DEATHS,2015-16
2016-16,1,0,CURRENT WEEK DEATHS,2015-16
2016-17,2,2,PREVIOUS WEEK DEATHS,2015-16
2016-17,2,0,CURRENT WEEK DEATHS,2015-16
2016-18,1,1,PREVIOUS WEEK DEATHS,2015-16
2016-18,1,0,CURRENT WEEK DEATHS,2015-16
2016-19,3,3,PREVIOUS WEEK DEATHS,2015-16
2016-19,3,0,CURRENT WEEK DEATHS,2015-16
2016-20,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-20,0,0,CURRENT WEEK DEATHS,2015-16
2016-21,2,2,PREVIOUS WEEK DEATHS,2015-16
2016-21,2,0,CURRENT WEEK DEATHS,2015-16
2016-22,1,1,PREVIOUS WEEK DEATHS,2015-16
2016-22,1,0,CURRENT WEEK DEATHS,2015-16
2016-23,1,1,PREVIOUS WEEK DEATHS,2015-16
2016-23,1,0,CURRENT WEEK DEATHS,2015-16
2016-24,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-24,0,0,CURRENT WEEK DEATHS,2015-16
2016-25,1,1,PREVIOUS WEEK DEATHS,2015-16
2016-25,1,0,CURRENT WEEK DEATHS,2015-16
2016-26,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-26,0,0,CURRENT WEEK DEATHS,2015-16
